PONumber,PODate,LineNum,LineType,VendorAcct,SupplierPartNum,ItemCode,Description,NumOrdered,ExpReceiveDate,NumReceived,DateReceived,NumBO,BOExpReceiveDate,POCost,Amount,TaxableAmt,TaxFlag,PurchUnitShipWgt,PurchUnitShipCubes,TotalShipWgt,TotalShipCubes,Carrier,StockUnit,PurchUnit,PurchStockMult,StockQtyOrdered,StockQtyReceived,StockQtyBO,PurchCostUnit,PurchCostMult,CostRoundCtrl,StockUnitCost,StockUnitLandedCost,SpecialOrderFlag,SpecialOrderNum,SpecialOrderCustAcct,SpecialOrderCustName,HazMatFlag,HazMatCode,OneTimeCostFlag,,
200010,9/14/2009,6,I,LAGASS,GOJ-3659-12CS,GOJ-9659,PURELL HAND SANITIZER 12/12OZ,1,,0,9/15/2009,1,,49.4,0,0,N,0,0,0,0,BEST WAY,CS,CS,1,1,0,1,CS,1,4,49.4,49.4,N,,,,N,,N,,
200010,9/14/2009,7,I,LAGASS,CLO-41772-CS,CLO-41772,PINE SOL ORANGE ENERGY 3/144OZ,1,,2,9/15/2009,0,,22.74,45.48,0,N,0,0,0,0,BEST WAY,CS,CS,1,1,2,0,CS,1,4,22.74,22.74,N,,,,N,,N,,
200010,9/14/2009,8,N,LAGASS,GOJ-9652-CS,GOJ- 9652-CS,PURELL 8OZ HAND SANITIZER/12,1,,4,9/15/2009,0,,39.5,158,0,N,0,0,0,0,BEST WAY,CS,CS,1,1,4,0,CS,1,4,39.5,39.5,N,,,,N,,N,,
200010,9/14/2009,9,N,LAGASS,RCP-6375GRA-EA,RCP 6375GRA-EA,UPRIGHT ANGLED BROOM,5,,5,9/15/2009,0,,8.82,44.1,0,N,0,0,0,0,BEST WAY,EA,EA,1,5,5,0,EA,1,4,8.82,8.82,N,,,,N,,N,,
200010,9/14/2009,10,N,LAGASS,TMS-2404-CS,TMS-2404-CS,COUNTRY GARDEN ULTRA AIR FRESH,1,,1,9/15/2009,1,,50.2,50.2,0,N,0,0,0,0,BEST WAY,CS,CS,1,1,1,1,CS,1,4,50.2,50.2,N,,,,N,,N,,
200010,9/14/2009,11,N,LAGASS,TMS-2402-CS,TMS-2402-CS,CLEAN'N FRESH ULTRA AIR FRESH,2,,2,9/15/2009,0,,36.47,72.94,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,36.47,36.47,N,,,,N,,N,,
200010,9/14/2009,12,N,LAGASS,PGC-53835-CS,PGC-02280,COMET LIQUID CLEANER(9/32OZ),2,,2,9/15/2009,0,,31.35,62.7,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,31.35,31.35,N,,,,N,,N,,
200010,9/14/2009,13,N,LAGASS,RCP-6311 WHI-EA,RCP-6311 WHI-EA,TOILET BBRUSH HOLDER,3,,0,9/15/2009,3,,1.16,0,0,N,0,0,0,0,BEST WAY,EA,EA,1,3,0,3,EA,1,4,1.16,1.16,N,,,,N,,N,,
200010,9/14/2009,14,I,LAGASS,RCP-6310 WHI-EA,RCP-6310WHI,POLYPROPYLENE TOILET BWL BRUSH,3,,3,9/15/2009,0,,1.37,4.11,0,N,0,0,0,0,BEST WAY,EA,EA,1,3,3,0,EA,1,4,1.37,1.38,N,,,,N,,N,,
200010,9/14/2009,15,I,LAGASS,TMS-2513-CS,TMS-2513,PINA COLADA TIME MIST 12/CS,1,,1,9/15/2009,0,,31,31,0,N,0,0,0,0,BEST WAY,CS,CS,1,1,1,0,CS,1,4,31,31,N,,,,N,,N,,
200004-1,9/14/2009,1,I,OKLRIG,495-49-80-0300,495-49-80-0300,ACCESSORY KIT FOR HEAT GUN,1,,1,9/18/2009,0,,30.19,30.19,0,N,0,0,0,0,BEST WAY,Each,Each,1,1,1,0,Each,1,4,30.19,30.19,N,,,,N,,N,,
200011,9/15/2009,1,N,LAGASS,SW-ER-SC684-EA,SW-ER-SC684,"12"" UPRIGHT VACUUM CLEANER",4,,4,9/16/2009,0,,143.9,575.6,0,N,0,0,0,0,BEST WAY,EA,EA,1,4,4,0,EA,1,4,143.9,143.9,N,,,,N,,N,,
200011,9/15/2009,2,N,LAGASS,RLF-1973-EA,RLF-1973,3GL LT CHEMICAL GARDEN SPRAYER,12,,8,9/16/2009,4,,18.9,151.2,0,N,0,0,0,0,BEST WAY,EA,EA,1,12,8,4,EA,1,4,18.9,18.9,N,,,,N,,N,,
200011,9/15/2009,3,I,LAGASS,APM-250GREEN-CS,EVERSOFT,TOILET TISSUE 500SHT 2-PLY(96),2,,2,9/16/2009,0,,31.24,62.48,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,31.24,31.24,N,,,,N,,N,,
200011,9/15/2009,4,I,LAGASS,BWK-YS-S200-CS,BWK S200,2OZ TRANS PORTION CUP(10/250),2,,2,9/16/2009,0,,23.95,47.9,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,23.95,23.95,N,,,,N,,N,,
200011,9/15/2009,5,I,LAGASS,CHA-5151-CS,CHA 5151,GLASS CLEANER W/AMMONIA 12/19,4,,4,9/16/2009,0,,23.2,92.8,0,N,0,0,0,0,BEST WAY,CS,CS,1,4,4,0,CS,1,4,23.2,23.2,N,,,,N,,N,,
200011,9/15/2009,6,I,LAGASS,CLO-02490-CS,CLO-02490,CLOROX BLEACH 6/96OZ,3,,3,9/16/2009,0,,10.54,31.62,0,N,0,0,0,0,BEST WAY,CS,CS,1,3,3,0,CS,1,4,10.54,10.54,N,,,,N,,N,,
200011,9/15/2009,7,I,LAGASS,CLO-41773-CS,CLO-41773,PINE SOL PINE SCENT CLEANER,2,,2,9/16/2009,0,,23.46,46.92,0,N,0,0,0,0,BEST WAY,CS,CS,1,2,2,0,CS,1,4,23.46,23.46,N,,,,N,,N,,
200011,9/15/2009,8,I,LAGASS,CLO-78952-CS,CLO-70313,30 GL DRAWSTRING TRASH BAG(90),3,,3,9/16/2009,0,,14.5,43.5,0,N,0,0,0,0,BEST WAY,CS,CS,1,3,3,0,CS,1,4,14.5,14.5,N,,,,N,,N,,
200011,9/15/2009,9,I,LAGASS,GEN-1805-CS,GEN-1805,"8""X350' NAT HARDWOUND ROLL TWL",20,,20,9/16/2009,0,,14.49,289.8,0,N,0,0,0,0,BEST WAY,CS,CS,1,20,20,0,CS,1,4,14.49,14.49,N,,,,N,,N,,
