ItemCode,ItemDescription,ItemExtendedDescription,ItemType,WHCode,WHDescription,StockUnit,BinNumber,ReorderPoint,LinePoint,ReorderQty,StockLevel,ShippedStock,ReceivedStock,StockOnHand,ReservedStock,StockAvailable,ItemAveUnitCost,StockValue,OnOrderFlag,OnOrderDate,OnOrderPONumber,OnOrderQty,OnOrderUnitCost,OnOrderExpectDate,OnOrderVendorAcct,OnOrderVendorName,TotalOnOrderQty,LastReceiveDate,LastReceivePONumber,FirstSaleDate,LastSaleDate,ReorderInfoCalcFlag,WHAveDayUsage,TransferInfoCalcFlag,TransferPoint,TransferQty,ItemID,WHID,VendorID,
BOX-242424-EA,CORRUGATED BOX 24X24X24,,I,*MAIN,Main Warehouse,EA,A-2,18.2498,6.0833,8.111,124,0,0,124,0,124,3.5589,441.3,N,,,0,0,,0,(No Supplier Assigned),0,2/17/2026,215994,9/15/2009,3/23/2026,Y,0.8889,N,0,0,104376,1,10067,
BOX-2466-EA,CORRUGATED BOX 24X6X6,,I,*MAIN,Main Warehouse,EA,,4.167,4.167,11.112,100,0,0,100,0,100,0.7128,71.28,N,,,0,0,,0,(No Supplier Assigned),0,4/17/2025,215477,8/13/2013,3/5/2025,Y,0,N,0,0,104377,1,10067,
ID-BAG GK4-500,#4 BROWN GROCERYBAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0,1,0,0,1,0,1,6.58,6.58,N,,,0,0,,0,(No Supplier Assigned),0,5/24/2021,213422,9/15/2009,4/8/2024,Y,0,N,0,0,104388,1,10306,
BB-48 B-FLUTE-RL,B-FLUTE SINGLE FACE CORRUGATED,"48"" X 250'",I,*MAIN,Main Warehouse,RL,F,53.501,50,100,64,0,0,64,0,64,44.1472,2825.42,N,,,0,0,,0,(No Supplier Assigned),0,3/6/2025,215457,4/2/2010,3/23/2026,N,0.1444,N,0,0,104391,1,10066,
BOX-444-EA,CORRUGATED BOX 4X4X4,,I,*MAIN,Main Warehouse,EA,A-2,5.0003,5.0003,13.334,275,0,0,275,0,275,0.2252,61.93,N,,,0,0,,0,(No Supplier Assigned),0,12/9/2024,215351,10/27/2009,9/23/2024,Y,0,N,0,0,104397,1,10067,
ID-BAG GK5-500,#5 BROWN GROCERY BAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0,7,0,0,7,0,7,13.61,95.27,N,,,0,0,,0,(No Supplier Assigned),0,4/5/2024,215023,5/7/2010,12/7/2018,Y,0,N,0,0,104398,1,10306,
BAG GX5-500,5# HEAVY DUTY BAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0,-1,0,0,-1,0,-1,14.86,-14.86,N,,,0,0,,0,(No Supplier Assigned),0,1/16/2025,215417,5/25/2010,3/13/2026,Y,0.0056,N,0,0,104399,1,10306,
BOX-555-EA,CORRUGATED BOX 5X5X5,,I,*MAIN,Main Warehouse,EA,A-2,8,8,22,150,0,0,150,0,150,0.233,34.95,N,,,0,0,,0,(No Supplier Assigned),0,3/12/2018,211419,11/22/2010,10/21/2022,Y,0,N,0,0,104400,1,10067,
ID-BAG GK6-500,#6 BROWN GROCERY BAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0.4445,2,0,0,2,1,1,16.28,32.56,N,,,0,0,,0,(No Supplier Assigned),0,1/22/2026,215963,10/9/2009,4/7/2026,Y,0.0889,N,0,0,104401,1,10306,
BOX-644-EA,CORRUGATED BOX 6X4X4,,I,*MAIN,Main Warehouse,EA,A-2,9.375,9.375,25,150,0,0,150,0,150,0.2993,44.9,N,,,0,0,,0,(No Supplier Assigned),0,4/17/2025,215477,6/24/2010,9/12/2024,Y,0,N,0,0,104404,1,10067,
BOX-664-EA,CORRUGATED BOX 6X6X4,,I,*MAIN,Main Warehouse,EA,A-2,56.25,18.75,50,600,0,0,600,0,600,0.3043,182.58,N,,,0,0,,0,(No Supplier Assigned),0,1/13/2026,215955,9/28/2009,1/8/2026,Y,3.3333,N,0,0,104405,1,10067,
BOX-666-EA,CORRUGATED BOX 6X6X6,,I,*MAIN,Main Warehouse,EA,A-2,15.624,5.208,6.944,225,0,0,225,0,225,0.3475,78.19,N,,,0,0,,0,(No Supplier Assigned),0,11/18/2025,215876,10/1/2009,5/22/2025,Y,0,N,0,0,104406,1,10067,
ID-BAG GK8-500,#8 BROWN GROCERY BAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0,7,0,0,7,0,7,9.34,65.38,N,,,0,0,,0,(No Supplier Assigned),0,8/27/2021,213588,9/15/2009,9/10/2024,Y,0,N,0,0,104420,1,10306,
BOX-8X6X4-EA,CORRUGATED BOX,,I,*MAIN,Main Warehouse,EA,A-2,1.0418,1.0418,1.389,75,0,0,75,0,75,0.3377,25.33,N,,,0,0,,0,(No Supplier Assigned),0,12/9/2024,215351,10/16/2009,9/23/2024,Y,0,N,0,0,104422,1,10067,
BOX-888-EA,CORRUGATED BOX 8X8X8,"SCORED @ 4""& 6""",I,*MAIN,Main Warehouse,EA,A-2,12.501,4.167,5.556,175,0,0,175,0,175,0.5064,88.62,N,,,0,0,,0,(No Supplier Assigned),0,5/29/2025,215610,9/16/2009,9/5/2025,Y,0,N,0,0,104424,1,10067,
ABL-P12-BD,"1/2"" X 48"" X 250' BUBBLE WRAP",,I,*MAIN,Main Warehouse,BD,B,0.575,0.225,0.6,16,0,0,16,0,16,65.53,1048.48,N,,,0,0,,0,(No Supplier Assigned),0,2/11/2025,215452,9/15/2009,3/6/2026,Y,0.0111,N,0,0,104457,1,10199,
ADH-EX238-EA,"2"" PREMIUM TAPE DISPENSER",,I,*MAIN,Main Warehouse,EA,SR,1.7085,1.7085,4.556,-1,0,0,-1,0,-1,10.32,-10.32,N,,,0,0,,0,(No Supplier Assigned),0,9/24/2024,215270,9/15/2009,2/26/2026,Y,0.0056,N,0,0,104488,1,10036,
ID-FT10801W-CS,54X108 WHITE PLASTIC,TABLECOVER 12/CS,I,*MAIN,Main Warehouse,CS,6,0,0,0.861,3,0,0,3,0,3,15.26,45.78,Y,11/26/2025,215894,10,15.26,,DADEP100,DADE PAPER,10,3/2/2026,216018,9/18/2009,3/5/2026,Y,0.3389,N,0,0,104643,1,10306,
AT-RG300-34-CS,18MM X55MM FILAMENT TAPE 24/CS,,I,*MAIN,Main Warehouse,CS,TAPE,6,6,11,0,0,0,0,0,0,3.1,0,N,,,0,0,,0,(No Supplier Assigned),0,8/21/2024,215231,12/4/2009,3/27/2025,Y,0,N,0,0,104666,1,10125,
BP-G30073-BX,MANILA SHIPPING TAG PRE-WIRED,5-3/4 X 2-7/8 1000/CS,I,*MAIN,Main Warehouse,BX,4,0,0,1,4,0,0,4,0,4,50.64,202.56,N,,,0,0,,0,(No Supplier Assigned),0,5/1/2025,215573,10/8/2009,10/7/2024,Y,0,N,0,0,104724,1,10067,
ID-210130-CS,54X108 2-PLY WHITE POLY-PAPER,TABLECOVER 25/CS,I,*MAIN,Main Warehouse,CS,6,0,0,0.278,14,0,0,14,0,14,45.1425,632,N,,,0,0,,0,(No Supplier Assigned),0,4/26/2024,215040-1,9/14/2009,2/3/2026,Y,0.0056,N,0,0,104728,1,10306,
HD-REN03931-EA,"24"" BLACK TAMPICO FIBRE BROOM",,I,*MAIN,Main Warehouse,EA,A-1,1,1,1,1,0,0,1,0,1,7.56,7.56,N,,,0,0,,0,(No Supplier Assigned),0,6/17/2020,212936,11/10/2009,1/9/2026,Y,0.0111,N,0,0,104733,1,10432,
UNS-1424-EA,"5""X24"" DUST MOP FRAME",,I,*MAIN,Main Warehouse,EA,A-1,0,0,1,0,0,0,0,0,0,3.49,0,N,,,0,0,,0,(No Supplier Assigned),0,1/20/2016,209387,11/24/2009,7/22/2021,Y,0,N,0,0,104766,1,10137,
